event_date	event_starttime	event_endtime	hpc_coord	hpc_bbox	sg_chirality	sg_orientation	sg_shape	sg_aspectratio	AR_NOAANUM	obs_instrument	SOL_standard
2012-01-01	2012-01-01T02:52:57	2012-01-01T03:22:57	POINT(-147.4782 -263.1006)	POLYGON((-192.7776 -309.3306,-96.573 -308.556,-99.7956 -216.3498,-199.2102 -217.1574,-192.7776 -309.3306))			Forward-S Sigmoid	8.8999	0	AIA_1	SOL2012-01-01T02:52:57L107C108
2012-01-01	2012-01-01T02:52:57	2012-01-01T03:22:57	POINT(-136.5714 -385.2714)	POLYGON((-176.217 -425.8566,-90.2538 -425.1876,-94.3446 -343.9854,-184.2042 -344.6904,-176.217 -425.8566))			Inverse-S Sigmoid	22.5072	0	AIA_1	SOL2012-01-01T02:52:57L107C116
2012-01-01	2012-01-01T03:52:57	2012-01-01T04:22:57	POINT(-138.1362 -262.8426)	POLYGON((-184.6446 -310.302,-86.22 -309.5592,-89.1762 -214.8342,-190.9746 -215.6088,-184.6446 -310.302))			Forward-S Sigmoid	8.25462	0	AIA_1	SOL2012-01-01T03:52:57L107C108
2012-01-01	2012-01-01T06:22:57	2012-01-01T06:52:57	POINT(441.2256 -304.7574)	POLYGON((391.2642 -353.9532,470.4966 -356.1408,490.41 -254.8068,407.8278 -252.504,391.2642 -353.9532))			Inverse-S Sigmoid	8.51116	0	AIA_1	SOL2012-01-01T06:22:57L143C110
2012-01-01	2012-01-01T06:22:57	2012-01-01T06:52:57	POINT(-116.6238 -265.347)	POLYGON((-169.041 -318.8982,-58.91148 -318.1956,-61.2264 -211.0848,-175.683 -211.8222,-169.041 -318.8982))			Forward-S Sigmoid	6.7473	0	AIA_1	SOL2012-01-01T06:22:57L107C108
2012-01-01	2012-01-01T06:52:57	2012-01-01T07:22:57	POINT(-110.7408 -264.1746)	POLYGON((-157.3812 -311.685,-59.73672 -311.0934,-61.8042 -216.1092,-162.8274 -216.7266,-157.3812 -311.685))			Forward-S Sigmoid	37.7132	0	AIA_1	SOL2012-01-01T06:52:57L107C108
2012-01-01	2012-01-01T07:52:57	2012-01-01T08:22:57	POINT(455.4432 -303.2166)	POLYGON((405.9456 -351.9144,483.9246 -354.1638,504.075 -253.7844,422.853 -251.4192,405.9456 -351.9144))			Forward-S Sigmoid	31.5355	0	AIA_1	SOL2012-01-01T07:52:57L143C110
2012-01-01	2012-01-01T08:22:57	2012-01-01T08:52:57	POINT(-96.828 -262.7562)	POLYGON((-146.4702 -313.3338,-43.10394 -312.786,-44.68836 -211.5528,-151.854 -212.1258,-146.4702 -313.3338))			Forward-S Sigmoid	13.0876	0	AIA_1	SOL2012-01-01T08:22:57L107C108
2012-01-01	2012-01-01T08:52:57	2012-01-01T09:22:57	POINT(-92.2992 -262.3848)	POLYGON((-141.387 -312.3696,-39.37704 -311.8542,-40.80564 -211.7892,-146.5164 -212.328,-141.387 -312.3696))			Forward-S Sigmoid	16.5716	0	AIA_1	SOL2012-01-01T08:52:57L107C108
2012-01-01	2012-01-01T09:23:02	2012-01-01T09:53:02	POINT(-179.8512 -282.9306)	POLYGON((-218.8902 -322.7724,-134.625 -321.9246,-138.7812 -242.664,-225.6474 -243.5442,-218.8902 -322.7724))			Inverse-S Sigmoid	6.25234	0	AIA_4	SOL2012-01-01T09:23:02L101C109
2012-01-01	2012-01-01T11:52:57	2012-01-01T12:22:57	POINT(-65.4534 -265.0548)	POLYGON((-115.7502 -316.2036,-12.33678 -315.8322,-12.80124 -213.2562,-120.1074 -213.6456,-115.7502 -316.2036))			Forward-S Sigmoid	11.2102	0	AIA_1	SOL2012-01-01T11:52:57L107C108
2012-01-01	2012-01-01T11:52:57	2012-01-01T12:22:57	POINT(-325.3146 -409.4364)	POLYGON((-373.407 -460.197,-255.2136 -457.8024,-270.714 -357.5064,-396.0798 -360.0714,-373.407 -460.197))			Inverse-S Sigmoid	18.9845	0	AIA_1	SOL2012-01-01T11:52:57L089C117
2012-01-01	2012-01-01T11:53:02	2012-01-01T12:23:02	POINT(-93.1896 -328.8414)	POLYGON((-135.861 -372.3204,-46.3983 -371.8518,-48.2661 -284.7258,-141.33 -285.2172,-135.861 -372.3204))			Forward-S Sigmoid	43.161	0	AIA_4	SOL2012-01-01T11:53:02L105C112
2012-01-01	2012-01-01T12:22:57	2012-01-01T12:52:57	POINT(-60.8562 -263.7816)	POLYGON((-111.573 -315.3462,-7.50342 -314.9982,-7.78698 -211.5606,-115.7892 -211.9248,-111.573 -315.3462))			Forward-S Sigmoid	14.8402	0	AIA_1	SOL2012-01-01T12:22:57L107C108
2012-01-01	2012-01-01T12:23:02	2012-01-01T12:53:02	POINT(-84.4188 -330.0696)	POLYGON((-126.9306 -373.359,-38.17752 -372.9378,-39.71538 -286.1454,-132.0432 -286.587,-126.9306 -373.359))			Forward-S Sigmoid	6.91594	0	AIA_4	SOL2012-01-01T12:23:02L105C112
2012-01-01	2012-01-01T13:23:02	2012-01-01T13:53:02	POINT(500.2632 -304.2564)	POLYGON((458.0484 -345.7752,523.0728 -347.931,541.6194 -262.2042,474.2928 -259.9536,458.0484 -345.7752))			Forward-S Sigmoid	8.39798	0	AIA_4	SOL2012-01-01T13:23:02L143C110
2012-01-01	2012-01-01T14:52:57	2012-01-01T15:22:57	POINT(-176.325 -317.0892)	POLYGON((-224.184 -366.2682,-119.8452 -365.2194,-125.0616 -267.1464,-233.9412 -268.251,-224.184 -366.2682))			Forward-S Sigmoid	434.413	0	AIA_1	SOL2012-01-01T14:52:57L098C111
2012-01-01	2012-01-01T15:22:57	2012-01-01T15:52:57	POINT(511.8804 -297.8976)	POLYGON((468.9618 -340.065,535.0038 -342.3282,553.8288 -255.1974,485.4666 -252.8346,468.9618 -340.065))			Forward-S Sigmoid	12.7739	0	AIA_1	SOL2012-01-01T15:22:57L143C110
2012-01-01	2012-01-01T15:22:57	2012-01-01T15:52:57	POINT(-444.9978 -365.7648)	POLYGON((-531.9048 -465.3144,-297.9372 -458.5026,-329.0814 -262.4958,-587.466 -270.1602,-531.9048 -465.3144))			Forward-S Sigmoid	10.426	0	AIA_1	SOL2012-01-01T15:22:57L079C114
