event_date	event_starttime	event_endtime	hpc_coord	hpc_bbox	sg_chirality	sg_orientation	sg_shape	sg_aspectratio	AR_NOAANUM	obs_instrument	SOL_standard
2011-11-06	2011-11-06T18:27:38	2011-11-06T18:27:38	POINT(-106.3308 -296.7948)	POLYGON((-161.7378 -352.8246,-46.81866 -353.7168,-48.291 -239.3784,-166.8234 -238.4658,-161.7378 -352.8246))			Forward-S Sigmoid	8.44212	1338	AIA_4	SOL2011-11-06T18:27:38L119C103
2011-11-06	2011-11-06T19:27:45	2011-11-06T19:27:45	POINT(-244.1682 237.6348)	POLYGON((-287.598 194.0988,-207.0744 192.651,-200.9112 280.7856,-279.039 282.1818,-287.598 194.0988))			Inverse-S Sigmoid	10.2943	1339	AIA_1	SOL2011-11-06T19:27:45L109C073
2011-11-06	2011-11-06T22:57:38	2011-11-06T22:57:38	POINT(-71.9748 -297.3978)	POLYGON((-125.8182 -351.6918,-15.46332 -352.2672,-15.93432 -241.8084,-129.6504 -241.2204,-125.8182 -351.6918))			Inverse-S Sigmoid	10.3391	1338	AIA_4	SOL2011-11-06T22:57:38L118C104
2011-11-06	2011-11-06T23:57:38	2011-11-06T23:57:38	POINT(-55.0686 -298.8414)	POLYGON((-113.6784 -357.9132,5.810892 -358.389,6.00516 -238.23,-117.4788 -237.7422,-113.6784 -357.9132))			Forward-S Sigmoid	6.34821	1338	AIA_4	SOL2011-11-06T23:57:38L119C104
2011-11-07	2011-11-07T00:57:38	2011-11-07T00:57:38	POINT(-297.1704 284.0292)	POLYGON((-360.1182 220.6548,-246.9684 218.106,-234.432 346.341,-341.8416 348.7374,-360.1182 220.6548))			Forward-S Sigmoid	32.2617	1339	AIA_4	SOL2011-11-07T00:57:38L102C070
2011-11-07	2011-11-07T01:27:57	2011-11-07T01:27:57	POINT(-315.7854 -538.3224)	POLYGON((-354.336 -578.7354,-255.5646 -581.5008,-271.8372 -496.2378,-376.8936 -493.3134,-354.336 -578.7354))			Forward-S Sigmoid	10.5592	0	AIA_1	SOL2011-11-07T01:27:57L099C120
2011-11-07	2011-11-07T03:27:45	2011-11-07T03:27:45	POINT(-294.0228 298.8372)	POLYGON((-341.427 251.2098,-257.2194 249.3324,-246.8232 345.8136,-327.6294 347.6022,-341.427 251.2098))			Forward-S Sigmoid	6.29364	1339	AIA_1	SOL2011-11-07T03:27:45L101C069
2011-11-07	2011-11-07T06:57:45	2011-11-07T06:57:45	POINT(-153.7134 241.1784)	POLYGON((-198.075 196.9236,-113.4336 195.9984,-109.9716 285.027,-192.0312 285.918,-198.075 196.9236))			Inverse-S Sigmoid	8.66096	1339	AIA_1	SOL2011-11-07T06:57:45L109C072
2011-11-07	2011-11-07T07:27:45	2011-11-07T07:27:45	POINT(-149.1516 241.7526)	POLYGON((-189.408 201.594,-112.554 200.7804,-109.4262 281.5758,-184.1442 282.3624,-189.408 201.594))			Inverse-S Sigmoid	13.88	1339	AIA_1	SOL2011-11-07T07:27:45L109C072
2011-11-07	2011-11-07T07:57:45	2011-11-07T07:57:45	POINT(-144.2166 242.6634)	POLYGON((-181.278 205.6938,-110.463 204.9696,-107.6244 279.3474,-176.6196 280.0488,-181.278 205.6938))			Inverse-S Sigmoid	12.3328	1339	AIA_1	SOL2011-11-07T07:57:45L109C072
2011-11-07	2011-11-07T09:27:45	2011-11-07T09:27:45	POINT(-259.5906 -532.3776)	POLYGON((-301.6116 -576.1596,-198.846 -578.43,-212.1516 -486.7002,-321.7902 -484.2942,-301.6116 -576.1596))			Inverse-S Sigmoid	10.3028	0	AIA_1	SOL2011-11-07T09:27:45L099C119
2011-11-07	2011-11-07T10:27:38	2011-11-07T10:27:38	POINT(-215.6928 -456.7608)	POLYGON((-255.927 -498.0054,-164.5038 -499.5654,-172.1484 -414.2274,-267.819 -412.605,-255.927 -498.0054))			Forward-S Sigmoid	34.8887	0	AIA_4	SOL2011-11-07T10:27:38L102C114
2011-11-07	2011-11-07T13:27:38	2011-11-07T13:27:38	POINT(63.054 -300.2226)	POLYGON((8.38494 -354.8526,115.3722 -354.372,118.9386 -244.2996,8.64414 -244.7904,8.38494 -354.8526))			Inverse-S Sigmoid	11.8228	1338	AIA_4	SOL2011-11-07T13:27:38L118C104
2011-11-07	2011-11-07T13:27:45	2011-11-07T13:27:45	POINT(-361.7226 366.2268)	POLYGON((-401.8794 325.7778,-336.033 323.8776,-321.6246 406.032,-384.6498 407.8398,-401.8794 325.7778))			Inverse-S Sigmoid	10.9542	0	AIA_1	SOL2011-11-07T13:27:45L090C065
2011-11-07	2011-11-07T13:57:45	2011-11-07T13:57:45	POINT(-223.017 -535.8552)	POLYGON((-269.034 -583.7514,-159.1596 -585.8034,-170.9598 -485.6778,-288.9774 -483.4896,-269.034 -583.7514))			Inverse-S Sigmoid	12.571	0	AIA_1	SOL2011-11-07T13:57:45L099C119
2011-11-07	2011-11-07T14:27:38	2011-11-07T14:27:38	POINT(-231.6858 210.657)	POLYGON((-285.4614 156.7254,-184.1382 155.0538,-178.0926 264.0948,-276.09 265.698,-285.4614 156.7254))			Forward-S Sigmoid	21.1582	1339	AIA_4	SOL2011-11-07T14:27:38L100C074
2011-11-07	2011-11-07T14:27:45	2011-11-07T14:27:45	POINT(71.3778 -303.1362)	POLYGON((9.88326 -364.5492,129.7722 -363.9396,134.3652 -240.0678,10.23306 -240.6936,9.88326 -364.5492))			Forward-S Sigmoid	14.0844	1338	AIA_1	SOL2011-11-07T14:27:45L118C104
2011-11-07	2011-11-07T14:57:45	2011-11-07T14:57:45	POINT(-353.13 366.7638)	POLYGON((-393.9918 325.6206,-326.6328 323.7348,-312.372 407.2404,-376.7922 409.032,-393.9918 325.6206))			Forward-S Sigmoid	7.40415	0	AIA_1	SOL2011-11-07T14:57:45L090C065
2011-11-07	2011-11-07T19:27:38	2011-11-07T19:27:38	POINT(112.6326 -300.4566)	POLYGON((35.83128 -376.8372,183.1086 -375.6564,191.1318 -221.5368,37.40142 -222.756,35.83128 -376.8372))			Inverse-S Sigmoid	8.79402	1338	AIA_4	SOL2011-11-07T19:27:38L118C104
2011-11-07	2011-11-07T22:57:14	2011-11-07T22:57:14	POINT(-129.579 311.8542)	POLYGON((-201.3624 240.6732,-64.5198 239.4108,-60.5256 381.51,-188.8974 382.6812,-201.3624 240.6732))			Inverse-S Sigmoid	7.73085	1339	AIA_4	SOL2011-11-07T22:57:14L101C068
2011-11-07	2011-11-07T23:27:38	2011-11-07T23:27:38	POINT(-130.4502 315.0648)	POLYGON((-198.2934 247.7622,-69.1746 246.5628,-65.0748 380.9814,-186.5418 382.098,-198.2934 247.7622))			Inverse-S Sigmoid	6.34464	1339	AIA_4	SOL2011-11-07T23:27:38L101C068
2011-11-08	2011-11-08T04:27:45	2011-11-08T04:27:45	POINT(-631.146 233.6076)	POLYGON((-670.932 192.7386,-605.706 188.9298,-589.5192 274.1532,-653.01 277.836,-670.932 192.7386))			Forward-S Sigmoid	64.9079	1342	AIA_1	SOL2011-11-08T04:27:45L064C074
2011-11-08	2011-11-08T04:57:45	2011-11-08T04:57:45	POINT(-627.786 232.9614)	POLYGON((-668.694 190.9206,-601.44 187.035,-584.9514 274.6608,-650.364 278.415,-668.694 190.9206))			Forward-S Sigmoid	66.5102	1342	AIA_1	SOL2011-11-08T04:57:45L064C074
2011-11-08	2011-11-08T05:27:38	2011-11-08T05:27:38	POINT(-694.512 232.4748)	POLYGON((-741.378 183.663,-665.118 178.2678,-644.202 280.8414,-718.074 286.026,-741.378 183.663))			Forward-S Sigmoid	8.44912	1342	AIA_4	SOL2011-11-08T05:27:38L058C074
2011-11-08	2011-11-08T05:27:45	2011-11-08T05:27:45	POINT(240.2748 -310.4748)	POLYGON((198.5034 -351.8784,275.3202 -350.5422,282.0588 -268.323,203.3628 -269.6838,198.5034 -351.8784))			Forward-S Sigmoid	7.386	1338	AIA_1	SOL2011-11-08T05:27:45L121C105
2011-11-08	2011-11-08T06:27:45	2011-11-08T06:27:45	POINT(251.2986 -309.1194)	POLYGON((209.6886 -350.3418,285.9462 -348.9522,292.8708 -267.1596,214.7676 -268.5744,209.6886 -350.3418))			Forward-S Sigmoid	7.82801	1338	AIA_1	SOL2011-11-08T06:27:45L121C105
2011-11-08	2011-11-08T06:57:38	2011-11-08T06:57:38	POINT(597.6606 231.1068)	POLYGON((520.1292 160.464,688.86 169.3896,660.648 300.9852,498.8148 292.5114,520.1292 160.464))			Forward-S Sigmoid	6.434	0	AIA_4	SOL2011-11-08T06:57:38L145C074
2011-11-08	2011-11-08T07:57:45	2011-11-08T07:57:45	POINT(-48.36384 313.1154)	POLYGON((-121.0116 241.6242,21.78582 241.1424,20.43366 383.07,-113.5014 383.517,-121.0116 241.6242))			Inverse-S Sigmoid	7.2794	1339	AIA_1	SOL2011-11-08T07:57:45L101C068
2011-11-08	2011-11-08T08:27:45	2011-11-08T08:27:45	POINT(-48.33504 308.6874)	POLYGON((-109.2822 248.5494,10.46664 248.1474,9.9252 367.7568,-103.6284 368.1354,-109.2822 248.5494))			Inverse-S Sigmoid	15.5753	1339	AIA_1	SOL2011-11-08T08:27:45L101C068
2011-11-08	2011-11-08T10:27:45	2011-11-08T10:27:45	POINT(-587.886 233.559)	POLYGON((-629.904 190.509,-559.953 186.9282,-544.1658 276.2448,-612.15 279.7008,-629.904 190.509))			Forward-S Sigmoid	23.0592	1342	AIA_1	SOL2011-11-08T10:27:45L064C074
2011-11-08	2011-11-08T10:57:45	2011-11-08T10:57:45	POINT(-661.5 265.5858)	POLYGON((-708.774 216.6108,-634.164 211.788,-611.388 313.995,-683.322 318.6078,-708.774 216.6108))			Forward-S Sigmoid	20.0525	1342	AIA_1	SOL2011-11-08T10:57:45L057C072
