event_date	event_starttime	event_endtime	hpc_coord	hpc_bbox	sg_chirality	sg_orientation	sg_shape	sg_aspectratio	AR_NOAANUM	obs_instrument	SOL_standard
2018-01-01	2018-01-01T06:29:35	2018-01-01T06:59:35	POINT(25.68804 145.011)	POLYGON((-20.51934 98.8488,72.0144 98.7186,71.3568 190.7256,-20.33202 190.8552,-20.51934 98.8488))			Forward-S Sigmoid	16.065900802612305	0	AIA_4	SOL2018-01-01T06:29:35L344C085
2018-01-01	2018-01-01T07:29:35	2018-01-01T07:59:35	POINT(36.00936 144.8634)	POLYGON((-16.1229 92.8182,88.305 92.6124,87.3984 196.3398,-15.95742 196.5456,-16.1229 92.8182))			Forward-S Sigmoid	10.376199722290039	0	AIA_4	SOL2018-01-01T07:29:35L345C085
2018-01-01	2018-01-01T07:59:35	2018-01-01T08:29:35	POINT(40.72098 144.9204)	POLYGON((-12.63192 91.6728,94.257 91.434,93.267 197.5716,-12.4992 197.8098,-12.63192 91.6728))			Forward-S Sigmoid	14.562999725341797	0	AIA_4	SOL2018-01-01T07:59:35L345C085
2018-01-01	2018-01-01T08:29:35	2018-01-01T08:59:35	POINT(44.84886 144.6432)	POLYGON((-9.19248 90.7218,99.0894 90.4554,98.0382 197.9532,-9.09504 198.2196,-9.19248 90.7218))			Forward-S Sigmoid	28.33919906616211	0	AIA_4	SOL2018-01-01T08:29:35L344C085
2018-01-01	2018-01-01T08:59:35	2018-01-01T09:29:35	POINT(49.13076 145.7796)	POLYGON((-1.270242 95.496,99.7602 95.2236,98.7606 195.528,-1.257522 195.8004,-1.270242 95.496))			Forward-S Sigmoid	27.635799407958984	0	AIA_4	SOL2018-01-01T08:59:35L344C085
2018-01-01	2018-01-01T09:29:35	2018-01-01T09:59:35	POINT(52.69824 145.785)	POLYGON((1.792356 95.0088,103.8486 94.713,102.798 196.0152,1.77423 196.3104,1.792356 95.0088))			Forward-S Sigmoid	15.302300453186035	0	AIA_4	SOL2018-01-01T09:29:35L344C085
2018-01-01	2018-01-01T09:59:35	2018-01-01T10:29:35	POINT(57.30432 146.8422)	POLYGON((5.078586 94.7676,109.8006 94.437,108.6492 198.3384,5.025318 198.6684,5.078586 94.7676))			Forward-S Sigmoid	10.480299949645996	0	AIA_4	SOL2018-01-01T09:59:35L344C085
2018-01-01	2018-01-01T11:27:30	2018-01-01T11:57:30	POINT(68.481 145.0296)	POLYGON((27.11196 103.7742,110.1594 103.4598,109.2606 185.9238,26.89074 186.2376,27.11196 103.7742))			Forward-S Sigmoid	81.96399688720703	0	AIA_1	SOL2018-01-01T11:27:30L344C085
2018-01-02	2018-01-02T23:02:30	2018-01-02T23:32:30	POINT(-255.1554 285.8154)	POLYGON((-289.803 250.8996,-224.4516 251.946,-220.4292 320.2734,-284.6106 319.2402,-289.803 250.8996))			Forward-S Sigmoid	108.18499755859375	0	AIA_1	SOL2018-01-02T23:02:30L305C077
2018-01-03	2018-01-03T12:32:30	2018-01-03T13:02:30	POINT(295.3698 384.621)	POLYGON((237.2832 328.4292,364.2966 325.89,347.91 439.0578,226.6074 441.5052,237.2832 328.4292))			Inverse-S Sigmoid	8.620220184326172	0	AIA_1	SOL2018-01-03T12:32:30L332C071
